Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,DEC FY2011,31646,01-12-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,JAN FY2011,48744,01-01-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,NOV FY2011,20561,01-11-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,DEC FY2012,42036,01-12-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,JAN FY2012,85545,01-01-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,NOV FY2012,38975,01-11-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,DEC FY2022,45850,01-12-2022
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,JAN FY2022,45210,01-01-2022
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,NOV FY2022,39807,01-11-2022
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,APR FY2007,1525,01-04-2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,MAR FY2007,1920,01-03-2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,APR FY2011,72779,01-04-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,FEB FY2011,19207,01-02-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,MAR FY2011,26446,01-03-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,APR FY2012,66837,01-04-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,FEB FY2012,37018,01-02-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,MAR FY2012,40647,01-03-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUL FY2007,29520,01-07-2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUN FY2007,11255,01-06-2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,MAY FY2007,5841,01-05-2019
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUL FY2011,68037,01-07-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUN FY2011,26436,01-06-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,MAY FY2011,24508,01-05-2020
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUL FY2012,92246,01-07-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUN FY2012,51624,01-06-2021
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,MAY FY2012,42365,01-05-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2012,AUG FY2012,0,01-08-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2012,OCT FY2012,408,01-10-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2012,SEP FY2012,200,01-09-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2022,AUG FY2022,11468,01-08-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2022,OCT FY2022,25886,01-10-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q1 FY2022,SEP FY2022,11185,01-09-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2012,DEC FY2012,32,01-12-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2012,JAN FY2012,704,01-01-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2012,NOV FY2012,512,01-11-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2022,DEC FY2022,18771,01-12-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2022,JAN FY2022,28342,01-01-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q2 FY2022,NOV FY2022,11798,01-11-2022
CSA,UCSMEM,UCS-MR-X64G2RW,Q3 FY2012,APR FY2012,3464,01-04-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q3 FY2012,FEB FY2012,264,01-02-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q3 FY2012,MAR FY2012,136,01-03-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q4 FY2011,JUL FY2011,96,01-07-2020
CSA,UCSMEM,UCS-MR-X64G2RW,Q4 FY2011,JUN FY2011,384,01-06-2020
CSA,UCSMEM,UCS-MR-X64G2RW,Q4 FY2012,JUL FY2012,26406,01-07-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q4 FY2012,JUN FY2012,834,01-06-2021
CSA,UCSMEM,UCS-MR-X64G2RW,Q4 FY2012,MAY FY2012,2944,01-05-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,AUG FY2008,0,01-08-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,OCT FY2008,128,01-10-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,SEP FY2008,0,01-09-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,AUG FY2007,479,01-08-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,OCT FY2007,522,01-10-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,SEP FY2007,272,01-09-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,AUG FY2011,3104,01-08-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,OCT FY2011,3651,01-10-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,SEP FY2011,832,01-09-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,AUG FY2012,1174,01-08-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,OCT FY2012,495,01-10-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,SEP FY2012,237,01-09-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,AUG FY2022,136,01-08-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,OCT FY2022,634,01-10-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,SEP FY2022,208,01-09-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,DEC FY2008,132,01-12-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,JAN FY2008,184,01-01-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,NOV FY2008,20,01-11-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,DEC FY2007,2544,01-12-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,JAN FY2007,6493,01-01-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,NOV FY2007,2705,01-11-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,DEC FY2011,1773,01-12-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,JAN FY2011,1472,01-01-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,NOV FY2011,509,01-11-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,DEC FY2012,326,01-12-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,JAN FY2012,178,01-01-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,NOV FY2012,1260,01-11-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,DEC FY2022,53,01-12-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,JAN FY2022,1253,01-01-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,NOV FY2022,346,01-11-2022
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,APR FY2008,812,01-04-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,FEB FY2008,557,01-02-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,MAR FY2008,772,01-03-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,APR FY2007,7947,01-04-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,FEB FY2007,7329,01-02-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,MAR FY2007,2315,01-03-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,APR FY2011,1116,01-04-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,FEB FY2011,3976,01-02-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,MAR FY2011,890,01-03-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,APR FY2012,903,01-04-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,FEB FY2012,246,01-02-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,MAR FY2012,233,01-03-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2002,JUL FY2002,0,01-07-2017
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUL FY2008,2267,01-07-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUN FY2008,2525,01-06-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,MAY FY2008,1159,01-05-2018
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUL FY2007,3199,01-07-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUN FY2007,2043,01-06-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,MAY FY2007,4732,01-05-2019
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUL FY2011,1847,01-07-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUN FY2011,2817,01-06-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,MAY FY2011,1632,01-05-2020
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUL FY2012,851,01-07-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUN FY2012,370,01-06-2021
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,MAY FY2012,62,01-05-2021
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,AUG FY2008,60,01-08-2018
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,OCT FY2008,174,01-10-2018
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,SEP FY2008,52,01-09-2018
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,AUG FY2007,1040,01-08-2019
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,OCT FY2007,1822,01-10-2019
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,SEP FY2007,1555,01-09-2019
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,AUG FY2011,1277,01-08-2020
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,OCT FY2011,3502,01-10-2020
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,SEP FY2011,1453,01-09-2020
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,AUG FY2012,2553,01-08-2021
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,OCT FY2012,5588,01-10-2021
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,SEP FY2012,4219,01-09-2021
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,AUG FY2022,5467,01-08-2022
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,OCT FY2022,14157,01-10-2022
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,SEP FY2022,4695,01-09-2022
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,DEC FY2008,227,01-12-2018
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,JAN FY2008,474,01-01-2018
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,NOV FY2008,49,01-11-2018
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,DEC FY2007,1185,01-12-2019
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,JAN FY2007,808,01-01-2019
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,NOV FY2007,1091,01-11-2019
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,DEC FY2011,2535,01-12-2020
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,JAN FY2011,2073,01-01-2020
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,NOV FY2011,2012,01-11-2020
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,DEC FY2012,3287,01-12-2021
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,JAN FY2012,8467,01-01-2021
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,NOV FY2012,3737,01-11-2021
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,DEC FY2022,8548,01-12-2022
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,JAN FY2022,13681,01-01-2022
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,NOV FY2022,9793,01-11-2022
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,APR FY2008,1277,01-04-2018
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,FEB FY2008,517,01-02-2018
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,MAR FY2008,603,01-03-2018
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,APR FY2007,1507,01-04-2019
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,FEB FY2007,1111,01-02-2019
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,MAR FY2007,4541,01-03-2019
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,APR FY2011,6867,01-04-2020
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,FEB FY2011,2030,01-02-2020
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,MAR FY2011,2100,01-03-2020
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,APR FY2012,4936,01-04-2021
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,FEB FY2012,3350,01-02-2021
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,MAR FY2012,2851,01-03-2021
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2002,JUL FY2002,475,01-07-2017
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUL FY2008,2786,01-07-2018
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUN FY2008,424,01-06-2018
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,MAY FY2008,472,01-05-2018
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUL FY2007,4048,01-07-2019
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUN FY2007,1436,01-06-2019
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,MAY FY2007,1374,01-05-2019
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,JUL FY2011,6599,01-07-2020
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,JUN FY2011,2418,01-06-2020
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,MAY FY2011,1612,01-05-2020
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,JUL FY2012,10549,01-07-2021
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,JUN FY2012,4791,01-06-2021
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,MAY FY2012,4321,01-05-2021
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,AUG FY2011,91,01-08-2020
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,OCT FY2011,242,01-10-2020
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2011,SEP FY2011,193,01-09-2020
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,AUG FY2012,228,01-08-2021
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,OCT FY2012,317,01-10-2021
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2012,SEP FY2012,225,01-09-2021
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,AUG FY2022,99,01-08-2022
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,OCT FY2022,490,01-10-2022
CSA,UCST,UCSC-GPU-T4-16,Q1 FY2022,SEP FY2022,406,01-09-2022
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,DEC FY2011,629,01-12-2020
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,JAN FY2011,427,01-01-2020
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2011,NOV FY2011,355,01-11-2020
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,DEC FY2012,269,01-12-2021
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,JAN FY2012,790,01-01-2021
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2012,NOV FY2012,351,01-11-2021
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2022,DEC FY2022,445,01-12-2022
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2022,JAN FY2022,332,01-01-2022
CSA,UCST,UCSC-GPU-T4-16,Q2 FY2022,NOV FY2022,159,01-11-2022
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2007,APR FY2007,75,01-04-2019
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2007,MAR FY2007,47,01-03-2019
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,APR FY2011,1167,01-04-2020
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,FEB FY2011,289,01-02-2020
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2011,MAR FY2011,194,01-03-2020
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,APR FY2012,451,01-04-2021
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,FEB FY2012,289,01-02-2021
CSA,UCST,UCSC-GPU-T4-16,Q3 FY2012,MAR FY2012,316,01-03-2021
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUL FY2007,753,01-07-2019
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUN FY2007,68,01-06-2019
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,MAY FY2007,226,01-05-2019
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,JUL FY2011,1286,01-07-2020
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,JUN FY2011,1150,01-06-2020
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2011,MAY FY2011,185,01-05-2020
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,JUL FY2012,535,01-07-2021
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,JUN FY2012,436,01-06-2021
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2012,MAY FY2012,553,01-05-2021
CSA,UCSX,UCSX-210C-M6,Q1 FY2022,AUG FY2022,260,01-08-2022
CSA,UCSX,UCSX-210C-M6,Q1 FY2022,OCT FY2022,1216,01-10-2022
CSA,UCSX,UCSX-210C-M6,Q1 FY2022,SEP FY2022,314,01-09-2022
CSA,UCSX,UCSX-210C-M6,Q2 FY2022,DEC FY2022,297,01-12-2022
CSA,UCSX,UCSX-210C-M6,Q2 FY2022,JAN FY2022,1315,01-01-2022
CSA,UCSX,UCSX-210C-M6,Q2 FY2022,NOV FY2022,669,01-11-2022
CSA,UCSX,UCSX-210C-M6,Q3 FY2012,APR FY2012,4,01-04-2021
CSA,UCSX,UCSX-210C-M6,Q3 FY2012,MAR FY2012,4,01-03-2021
CSA,UCSX,UCSX-210C-M6,Q4 FY2012,JUL FY2012,892,01-07-2021
CSA,UCSX,UCSX-210C-M6,Q4 FY2012,JUN FY2012,60,01-06-2021
CSA,UCSX,UCSX-210C-M6,Q4 FY2012,MAY FY2012,9,01-05-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,AUG FY2012,345,01-08-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,OCT FY2012,440,01-10-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,SEP FY2012,380,01-09-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,AUG FY2022,199,01-08-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,OCT FY2022,364,01-10-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,SEP FY2022,411,01-09-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,DEC FY2011,407,01-12-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,JAN FY2011,313,01-01-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,NOV FY2011,327,01-11-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,DEC FY2012,670,01-12-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,JAN FY2012,439,01-01-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,NOV FY2012,577,01-11-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,DEC FY2022,275,01-12-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,JAN FY2022,201,01-01-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,NOV FY2022,239,01-11-2022
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2007,FEB FY2007,0,01-02-2019
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,APR FY2011,697,01-04-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,FEB FY2011,180,01-02-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,MAR FY2011,516,01-03-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,APR FY2012,299,01-04-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,FEB FY2012,301,01-02-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,MAR FY2012,389,01-03-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUL FY2011,1331,01-07-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUN FY2011,416,01-06-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,MAY FY2011,297,01-05-2020
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUL FY2012,656,01-07-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUN FY2012,316,01-06-2021
CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,MAY FY2012,201,01-05-2021
CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,AUG FY2022,153,01-08-2022
CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,OCT FY2022,320,01-10-2022
CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,SEP FY2022,413,01-09-2022
CVEBU,CTSPS,CS-DESK-K9,Q2 FY2022,DEC FY2022,551,01-12-2022
CVEBU,CTSPS,CS-DESK-K9,Q2 FY2022,JAN FY2022,385,01-01-2022
CVEBU,CTSPS,CS-DESK-K9,Q2 FY2022,NOV FY2022,191,01-11-2022
CVEBU,CTSPS,CS-DESK-K9,Q4 FY2012,JUL FY2012,628,01-07-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,AUG FY2012,727,01-08-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,OCT FY2012,1015,01-10-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,SEP FY2012,717,01-09-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,AUG FY2022,1240,01-08-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,OCT FY2022,2263,01-10-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,SEP FY2022,2434,01-09-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2011,JAN FY2011,136,01-01-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,DEC FY2012,1001,01-12-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,JAN FY2012,3637,01-01-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,NOV FY2012,846,01-11-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,DEC FY2022,1225,01-12-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,JAN FY2022,3148,01-01-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,NOV FY2022,1023,01-11-2022
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,APR FY2011,913,01-04-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,FEB FY2011,198,01-02-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,MAR FY2011,392,01-03-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,APR FY2012,1584,01-04-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,FEB FY2012,948,01-02-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,MAR FY2012,1396,01-03-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUL FY2011,1230,01-07-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUN FY2011,526,01-06-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,MAY FY2011,571,01-05-2020
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUL FY2012,3168,01-07-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUN FY2012,2535,01-06-2021
CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,MAY FY2012,1077,01-05-2021
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,AUG FY2008,357,01-08-2018
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,OCT FY2008,1088,01-10-2018
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,SEP FY2008,380,01-09-2018
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,AUG FY2007,1906,01-08-2019
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,OCT FY2007,3445,01-10-2019
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,SEP FY2007,2020,01-09-2019
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,AUG FY2011,1470,01-08-2020
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,OCT FY2011,3708,01-10-2020
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,SEP FY2011,1980,01-09-2020
CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,AUG FY2012,1830,01-08-2021
